shipment_id,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,priority,driver_name,customer_phone,driver_alert_status,risk_score
D2S001,Kolkata,Chennai,22.527841882090662,88.39694188775029,13.103506668147338,80.27128817269268,Medium,Ramesh Rao,+916414830969,Ok,Medium
D2S002,Vellore,Surat,12.879776900425874,79.14960934789202,21.153359314944815,72.86069809589274,Medium,Vikram Reddy,+916247044703,Ok,Low
D2S003,Pune,Ahmedabad,18.505669263442343,73.86232929495401,23.05280583252646,72.5781481277647,Low,Mohammed Ali,+919013165133,Ok,High
D2S004,Surat,Krishnagiri,21.219542177295637,72.8325939259273,12.536448146213441,78.21832478894916,High,Karthik N,+917205838037,Ok,Low
D2S005,Krishnagiri,Jaipur,12.52628697951532,78.20174021733578,26.907435823497618,75.76309585745402,High,Arun M,+917299727475,Ok,Low
D2S006,Jaipur,Bangalore,26.86588989673173,75.7466806007159,12.967414764136203,77.58521751727756,Medium,Vikram Reddy,+916763116517,Ok,Low
D2S007,Vellore,Surat,12.877621671690292,79.12378544199322,21.133233442396666,72.82444495571832,Low,Mohammed Ali,+916341393699,Ok,Low
D2S008,Kolkata,Hyderabad,22.52908149109414,88.39434241620924,17.35713692058358,78.518028399373,High,Amit Singh,+918357518379,Ok,Low
D2S009,Kolkata,Jaipur,22.598187876021985,88.38015778239551,26.936963052173724,75.81502413408892,Low,Suresh Patel,+918357445220,Ok,Medium
D2S010,Krishnagiri,Delhi,12.539557233922917,78.16968108237465,28.7526054149902,77.09940878087312,High,Mohammed Ali,+917212499813,Ok,Low
D2S011,Krishnagiri,Bangalore,12.497635791884948,78.25574205222534,13.012161762977012,77.63222796673516,Low,Ramesh Rao,+917263362637,Ok,Medium
D2S012,Pune,Krishnagiri,18.53190847289532,73.83185897134186,12.507331141512745,78.20585686299293,High,Rajesh Kumar,+919949763799,Ok,Medium
D2S013,Bangalore,Hyderabad,12.991403946873914,77.58804380846483,17.363343373044696,78.51447887539479,High,Mohammed Ali,+917454229999,Ok,Low
D2S014,Krishnagiri,Chennai,12.532111060053708,78.25498410584885,13.103432991157728,80.30699920112646,High,Karthik N,+919300272482,Ok,Low
D2S015,Jaipur,Surat,26.91097238878076,75.7989036369576,21.177772935293664,72.8263295946876,Medium,Deepak Sharma,+918566723648,Ok,Low
D2S016,Vellore,Jaipur,12.916701530190656,79.10757035774868,26.94347429401005,75.82777288040475,Low,Prakash C,+916099224648,Ok,Low
D2S017,Krishnagiri,Vellore,12.542110086594802,78.21348241788004,12.899133904221706,79.16052983730967,Low,Suresh Patel,+918096930744,Ok,Low
D2S018,Mumbai,Vellore,19.05132810372623,72.8677397937672,12.95178843712344,79.10940505738044,Medium,Rajesh Kumar,+919182187798,Ok,Medium
D2S019,Chennai,Delhi,13.093003852997965,80.3150533792214,28.71129631199345,77.15045388604689,High,Karthik N,+918922156143,Ok,Medium
D2S020,Mumbai,Hyderabad,19.096487476878483,72.92560365145403,17.33868224180845,78.50055068383791,Medium,Ramesh Rao,+919357624228,Ok,Medium
D2S021,Krishnagiri,Kolkata,12.492491514816605,78.22867761185825,22.589597521820107,88.36061639983693,High,Ramesh Rao,+916144295005,Ok,Low
D2S022,Pune,Jaipur,18.548689898744612,73.90388434279403,26.91269848582538,75.82718464777585,Low,Suresh Patel,+919389911115,Ok,High
D2S023,Vellore,Mumbai,12.869598108019654,79.14455121701364,19.082895999499456,72.84613663037987,Medium,Deepak Sharma,+918334372050,Ok,Low
D2S024,Delhi,Mumbai,28.717437393672594,77.12005921562755,19.105723669159417,72.85407406389616,High,Rajesh Kumar,+916660166154,Ok,Low
D2S025,Jaipur,Krishnagiri,26.914966998866575,75.7430143867911,12.555923789844238,78.17223722235877,High,Prakash C,+916010834409,Ok,Medium
