shipment_id,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,priority,driver_name,customer_phone,driver_alert_status,risk_score
D3S001,Jaipur,Krishnagiri,26.9410425065844,75.75134504585658,12.512110272334168,78.21745251234914,High,Arun M,+916726031819,Ok,High
D3S002,Kolkata,Hyderabad,22.563701747038916,88.31464205761259,17.353276355857254,78.49781804842176,High,Deepak Sharma,+917213958519,Ok,Medium
D3S003,Jaipur,Vellore,26.874180457606425,75.73943376760498,12.895999234660747,79.11768952133481,High,Rajesh Kumar,+917436060377,Ok,Medium
D3S004,Pune,Bangalore,18.51267737289307,73.80703846934982,12.9612337192037,77.60441746223286,Low,Arun M,+919822592883,Ok,Low
D3S005,Vellore,Chennai,12.87474854759156,79.09265281620407,13.072086882402852,80.26413401377285,Medium,Suresh Patel,+918918341743,Ok,Low
D3S006,Krishnagiri,Vellore,12.568574562314133,78.18502899881973,12.932771421356415,79.10271228099162,High,Prakash C,+916496484785,Ok,Low
D3S007,Krishnagiri,Hyderabad,12.553793447888376,78.24256562003092,17.415262842695487,78.52508353128421,Medium,Vikram Reddy,+919707478417,Ok,Low
D3S008,Chennai,Jaipur,13.11298903142054,80.24029492088015,26.927755623515147,75.76802036784316,Medium,Deepak Sharma,+916063209738,Ok,Low
D3S009,Hyderabad,Jaipur,17.366202316958972,78.50406551373716,26.86640536109439,75.80349131996809,Medium,Prakash C,+917307564227,Ok,High
D3S010,Kolkata,Ahmedabad,22.59715859852488,88.33724153652162,22.975342034522708,72.54794111487516,Medium,Rajesh Kumar,+919176198460,Ok,Low
D3S011,Vellore,Mumbai,12.885631742606098,79.12849512828507,19.056626622261394,72.90178430140296,Low,Arun M,+918674739540,Ok,Low
D3S012,Krishnagiri,Vellore,12.54665447779388,78.25398856891147,12.953759095483997,79.1284748788468,Medium,Karthik N,+916259359281,Ok,Low
D3S013,Kolkata,Jaipur,22.558108741903496,88.33871680643948,26.88640646934512,75.80679963955987,Low,Suresh Patel,+916613945953,Ok,Low
D3S014,Kolkata,Chennai,22.587972689039756,88.38259418666625,13.073632978566952,80.30821778231642,Low,Rajesh Kumar,+919437578601,Ok,High
D3S015,Krishnagiri,Mumbai,12.48912066624275,78.16840262398595,19.059434153019577,72.82927955023291,High,Ramesh Rao,+916652815950,Ok,High
D3S016,Bangalore,Vellore,12.93683135958427,77.57454066569342,12.94798804577631,79.08377264516892,Medium,Ramesh Rao,+919229931159,Ok,Medium
D3S017,Chennai,Krishnagiri,13.08474574049879,80.26969698912157,12.560598764895857,78.21029451364943,Medium,Karthik N,+917823684412,Ok,High
D3S018,Bangalore,Surat,12.96585374034733,77.56054597009017,21.20820651528546,72.81136300384871,High,Prakash C,+917284167554,Ok,Low
D3S019,Pune,Jaipur,18.471470908151062,73.84117359633389,26.869289332699996,75.77030718131614,High,Suresh Patel,+916482268796,Ok,Low
D3S020,Bangalore,Ahmedabad,12.952870100534184,77.55308129342716,23.057196237091794,72.5334899047683,High,Mohammed Ali,+919150060298,Ok,High
D3S021,Bangalore,Delhi,12.93432113544472,77.63668065348796,28.66796124074004,77.07239199763171,Medium,Prakash C,+919634181140,Ok,Low
D3S022,Jaipur,Kolkata,26.93422117923692,75.76976075282923,22.599050594078083,88.38183629109243,High,Suresh Patel,+916201568744,Ok,Low
D3S023,Delhi,Bangalore,28.655567362400863,77.13584507215828,12.979069605219344,77.61464404380621,Low,Karthik N,+917614743160,Ok,Low
D3S024,Mumbai,Kolkata,19.1202733642732,72.8657124830609,22.570528610539142,88.39166918843226,Medium,Mohammed Ali,+918076480267,Ok,Low
D3S025,Bangalore,Jaipur,12.954845750776363,77.58810994860043,26.89890427203331,75.75242351490785,Medium,Amit Singh,+918322451291,Ok,Medium
